baseline_Distance Travelled,model_Distance Travelled,baseline_No. Of Stops Passed Through,model_No. Of Stops Passed Through,baseline_Non-Collision Destroyed,model_Non-Collision Destroyed,baseline_Non-Vehicle Collision Count,model_Non-Vehicle Collision Count,baseline_Serious Collision Count,model_Serious Collision Count,baseline_Speed,model_Speed,baseline_Speed Limit,model_Speed Limit,baseline_Time Stopped,model_Time Stopped,baseline_Time in speed0-5mph,model_Time in speed0-5mph,baseline_Time in speed10-15mph,model_Time in speed10-15mph,baseline_Time in speed15-20mph,model_Time in speed15-20mph,baseline_Time in speed20-25mph,model_Time in speed20-25mph,baseline_Time in speed25-30mph,model_Time in speed25-30mph,baseline_Time in speed30-35mph,model_Time in speed30-35mph,baseline_Time in speed5-10mph,model_Time in speed5-10mph,baseline_Vehicle-Vehicle Collision Count,model_Vehicle-Vehicle Collision Count,baseline_realtimeSinceStartup,model_realtimeSinceStartup,baseline_totalTimeinminsoFar,model_totalTimeinminsoFar
583.3427,440.8685,0,0.0,0,0.0,0,0.0,1,1.0,0.01093145,0.00642763,30,25.52221,2.429648,3.801625,2.488004,3.888683,0.1058019,0.1362273,0.1316461,0.1788391,0.1864751,0.5113919,0.9246024,0.2899779,0.0,0.03051389,0.09315945,0.1206781,2,1.0,274.4105,319.293,3.933999,5.156333
546.8981,683.0614,0,0.0,0,0.0,0,1.0,1,1.0,0.01003902,0.009325777,30,26.96614,2.520642,3.072011,2.600981,3.24333,0.1145263,0.2321493,0.1477066,0.2531771,0.1382046,0.778973,0.8616016,0.2983896,0.0,0.1544523,0.09262014,0.1874957,2,4.0,275.7719,319.4611,3.955998,5.158999
603.317,693.4387,0,0.0,0,0.0,0,0.0,1,1.0,0.011108,0.01015758,30,25.74929,2.526291,3.345084,2.580651,3.404116,0.1028127,0.1056082,0.1083999,0.1612003,0.161821,0.3209919,0.9935734,1.093392,0.0,0.0,0.07686866,0.07876956,4,2.0,279.9787,319.7536,4.025999,5.164
853.0057,656.1398,0,1.0,0,0.0,0,0.0,1,1.0,0.01561945,0.009493249,30,23.42056,2.109464,3.398516,2.146949,3.470068,0.06539389,0.1287323,0.1049401,0.1601996,0.1237965,0.3072386,1.539327,0.8629999,0.0,0.1375877,0.0547168,0.09725079,1,2.0,280.6678,319.7541,4.036665,5.164
581.6649,489.9749,0,0.0,0,1.0,0,0.0,1,0.0,0.01052195,0.006374087,30,29.6767,2.571342,3.93895,2.650711,4.00204,0.1250959,0.1598868,0.144409,0.2225279,0.2086639,0.3486828,0.8745363,0.5426988,0.0,0.0,0.09753814,0.08880939,6,0.0,284.8763,331.7958,4.105665,5.364667
538.7767,975.269,0,0.0,0,1.0,0,0.0,1,0.0,0.009707085,0.0125528,30,29.76428,2.82369,2.738854,2.872219,2.793925,0.07034376,0.1051309,0.1132204,0.1660488,0.1656066,1.166001,0.8687291,1.06187,0.0,0.0,0.05979103,0.07809922,2,0.0,287.7179,332.1942,4.152998,5.371333
517.4889,407.5033,0,0.0,0,1.0,0,0.0,1,0.0,0.009102175,0.005648687,30,30.79275,2.863585,4.219664,2.907687,4.287877,0.09281825,0.1332172,0.1045165,0.1702005,0.1823782,0.2439426,0.8125129,0.4741329,0.0,0.0,0.05492732,0.1003071,1,0.0,288.0136,334.4948,4.157665,5.409667
733.0295,852.8014,1,0.0,0,1.0,0,0.0,1,0.0,0.01322423,0.01192539,30,26.61067,2.348137,3.128104,2.416134,3.196876,0.1223471,0.1475113,0.1234065,0.2471941,0.2322735,0.9387735,1.191582,0.8395808,0.0,0.0,0.07400073,0.1125107,1,0.0,288.4308,338.8585,4.164665,5.482333
452.9438,509.2994,0,0.0,0,1.0,0,0.0,1,0.0,0.007963378,0.00686192,30,29.16267,3.00015,3.96777,3.071503,4.053109,0.0773273,0.18452,0.1138748,0.3160785,0.1516836,0.2367325,0.70096,0.5678118,0.0,0.0,0.06577926,0.1367514,1,1.0,289.7074,339.6287,4.185665,5.495333
522.6287,500.8879,0,0.0,0,1.0,0,0.0,1,0.0,0.009184697,0.006753802,30,28.41451,2.865817,4.127498,2.913868,4.19559,0.09316032,0.1281246,0.1088066,0.1327831,0.1740018,0.5020286,0.8263467,0.4856589,0.0,0.0,0.06494275,0.08975384,1,0.0,289.7079,341.9534,4.185665,5.533999
509.7458,654.4286,0,1.0,0,1.0,0,0.0,1,0.0,0.00898797,0.00883023,30,25.90878,2.806334,3.654078,2.899071,3.742821,0.1399839,0.1703502,0.1401446,0.220542,0.2322852,0.7234384,0.7077827,0.5788215,0.0,0.0,0.1021428,0.1283798,1,0.0,291.9585,343.7867,4.223665,5.564667
1105.427,830.6118,0,0.0,0,0.0,0,0.0,1,1.0,0.01908989,0.01138149,30,27.64031,1.560057,3.385259,1.619962,3.445,0.0921522,0.1206412,0.466932,0.2466062,0.3008487,0.5756313,1.485757,1.102462,0.1944444,0.0,0.09384379,0.09079932,2,2.0,293.7588,344.7761,4.254332,5.581
633.569,1028.868,0,0.0,0,1.0,0,0.0,1,0.0,0.01037931,0.01392624,30,27.71536,2.954176,3.092328,3.017285,3.147658,0.1282199,0.1094992,0.1429193,0.1365066,0.2003919,0.4123302,0.9902159,1.593845,0.0,0.1991941,0.09528019,0.08668707,1,0.0,312.9065,351.0701,4.574332,5.686
546.2201,493.9818,0,1.0,1,1.0,0,0.0,0,0.0,0.008241053,0.006722542,30,27.83988,3.338843,4.164827,3.398099,4.239079,0.1043231,0.1771943,0.1087918,0.3848374,0.1535775,0.3986751,0.8778505,0.3903354,0.0,0.0,0.07676353,0.1128376,1,1.0,321.912,352.0771,4.722665,5.702667
1002.494,814.6284,0,0.0,0,1.0,0,0.0,1,0.0,0.01485252,0.01098426,30,26.89854,2.444398,3.53518,2.528557,3.596668,0.1226362,0.1470203,0.1329426,0.1654849,0.2141014,0.3657293,1.721773,1.309305,0.0,0.02396393,0.09257459,0.1026758,2,0.0,327.4447,352.5779,4.815665,5.711
951.7097,565.2659,1,0.0,0,1.0,0,0.0,1,0.0,0.01408912,0.007604727,30,30.92345,2.653476,3.962652,2.710268,4.071223,0.08540122,0.215383,0.1130375,0.3068851,0.2055503,0.7371156,1.671975,0.2858247,0.0,0.0,0.07086691,0.1452436,1,1.0,330.0848,355.6154,4.860332,5.761666
957.6627,1219.038,0,0.0,0,0.0,0,0.0,1,1.0,0.01463947,0.01619427,30,25.9721,2.609924,2.727309,2.686287,2.793988,0.1123689,0.1343401,0.1295857,0.1983712,0.1988414,0.5001245,1.656074,2.039927,0.0,0.0,0.09775959,0.09704234,3,1.0,331.4452,355.7478,4.882998,5.764
761.2068,892.7625,0,0.0,0,1.0,0,0.0,1,0.0,0.01187231,0.01221929,30,30.3331,3.171933,3.531633,3.232852,3.596933,0.08547676,0.1661187,0.1015989,0.2110811,0.1582658,0.2989666,1.325697,1.318487,0.0,0.0922343,0.050452,0.09857825,1,0.0,335.7638,356.8515,4.955331,5.782333
683.3563,135.4926,0,0.0,0,0.0,0,4.0,1,1.0,0.009282654,0.001228464,30,26.31585,3.504621,5.400495,3.576627,5.473253,0.1135659,0.06073756,0.1302506,0.05542773,0.1778273,0.1024043,1.116993,0.1227029,0.0,0.0,0.1002798,0.04259883,2,3.0,351.6018,361.3342,5.217998,5.857
676.7565,1207.77,1,0.0,0,1.0,0,0.0,1,0.0,0.00981653,0.01471983,30,24.68361,3.476978,2.732538,3.553542,2.803629,0.1170202,0.2548919,0.17797,0.365611,0.2386095,0.9794418,1.027218,1.400892,0.0,0.05273971,0.101187,0.1710863,1,0.0,351.6022,371.5982,5.217998,6.028
616.4751,1091.429,0,0.0,0,1.0,0,0.0,1,0.0,0.00932087,0.01356193,30,28.59191,3.688789,3.439374,3.767107,3.515527,0.1294363,0.1253209,0.160087,0.1657307,0.2040349,0.2752503,0.9407417,1.760617,0.0,0.143954,0.1009048,0.09202527,3,6.0,356.8758,374.6138,5.304331,6.078333
774.1485,1368.442,0,0.0,0,1.0,0,0.0,1,0.0,0.0114064,0.01640528,30,23.48466,3.440722,2.706114,3.485084,2.77649,0.09011411,0.1812421,0.1292513,0.3436225,0.2082604,0.8358203,1.294932,1.168912,0.0,0.7248179,0.09466943,0.1127505,1,3.0,356.9488,378.5296,5.305665,6.143667
730.2026,1015.762,1,0.0,0,1.0,0,0.0,1,0.0,0.01058116,0.01148368,30,28.06274,3.513618,3.56157,3.598977,3.646023,0.1340746,0.2594418,0.1435296,0.313063,0.1949864,0.8373341,1.171648,1.041863,0.0,0.07676537,0.1109883,0.1272069,5,1.0,360.1566,388.0283,5.358665,6.302
845.0849,603.515,0,2.0,0,0.0,0,0.0,1,1.0,0.0125468,0.007575613,30,27.5041,3.532553,4.407298,3.619813,4.532865,0.103814,0.2155104,0.1454687,0.3036962,0.1764458,0.7285712,1.428385,0.3729692,0.0,0.0,0.1121282,0.1677049,2,1.0,373.7228,389.1865,5.586998,6.321333
1310.79,642.5398,0,0.0,0,0.0,0,0.0,1,1.0,0.01653829,0.007826952,30,24.85978,3.016351,4.069216,3.061123,4.255259,0.1040156,0.393865,0.1515678,0.6325188,0.1727352,0.3515591,2.385698,0.4194245,0.0,0.0,0.08211051,0.2686938,1,2.0,396.143,389.1869,5.958331,6.321333
832.6489,973.5781,0,0.0,0,0.0,0,0.0,1,1.0,0.01138232,0.01127083,30,25.09474,3.942678,3.85308,4.019914,3.93155,0.1210563,0.1563558,0.1654814,0.2066939,0.1943819,0.3342066,1.38439,1.262395,0.0,0.3187028,0.1014643,0.1118002,1,1.0,397.9922,389.2266,5.988998,6.322
1640.248,1371.844,0,0.0,0,0.0,0,0.0,1,1.0,0.01943065,0.01666381,30,27.66857,2.506097,2.836011,2.568389,2.91009,0.08784337,0.1546976,0.1096257,0.2361164,0.1638919,1.144796,3.071567,1.742411,0.04974396,0.01580031,0.06281859,0.1177962,1,1.0,405.494,389.2268,6.114331,6.322
1022.468,568.9971,0,0.0,0,0.0,0,0.0,1,1.0,0.01318395,0.006531307,30,27.02604,3.98879,4.586605,4.083529,4.71795,0.1604942,0.219322,0.1789936,0.2622196,0.2850303,0.3992487,1.683226,0.5767571,0.0,0.002982495,0.1323234,0.186631,1,2.0,431.2787,391.8141,6.525331,6.365
