totalTimeinminsoFar, realtimeSinceStartup, Total Time Stopped, Total Distance Travelled, Avg Speed, Speed Limit, Total Serious Collision Count,Total Vehicle-Vehicle Collision Count,Total Non-Vehicle Collision Count, Non-Collision Destroyed, No. Of Stops Passed Through, Avg Time in speed0-5mph,Avg Time in speed5-10mph,Avg Time in speed10-15mph,Avg Time in speed15-20mph, Avg Time in speed20-25mph, Avg Time in speed25-30mph, Avg Time in speed30-35mph
10.01677,610.4816, 10.01712,0.09909406, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4818, 10.01712,0.2653587, 0, 252.5, 0,1,1,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.482, 10.01712,0.1079164, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4821, 10.01712,0.08117405, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4823, 10.01712,5.381907, 0, 252.5, 0,0,4,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4825, 10.01712,0.3969835, 0, 252.5, 0,0,1,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4826, 10.01712,1772086, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4828, 10.01712,0.1245362, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4829, 10.01712,0.1282863, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4831, 10.01712,0.05377449, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4833, 10.01712,0.08674569, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4834, 10.01712,0.2626004, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4836, 10.01712,0.09438445, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4838, 10.01712,0.2131715, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4839, 10.01712,0.259979, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4841, 10.01712,0.7185825, 0, 252.5, 0,0,4,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4842, 10.01712,0.8698758, 0, 252.5, 0,2,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4844, 10.01712,0.183596, 0, 252.5, 0,0,1,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4846, 10.01712,0.09064639, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4847, 10.01712,0.1007239, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4849, 10.01712,1.592278, 0, 252.5, 0,0,1,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.485, 10.01712,0.08114345, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4852, 10.01712,0.0992799, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4854, 10.01712,0.1286222, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4855, 10.01712,0.1169512, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4857, 10.01712,0.05550388, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4858, 10.01712,0.1005196, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.486, 10.01712,0.2570862, 0, 252.5, 0,0,1,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4861, 10.01712,48.11344, 0, 252.5, 0,0,6,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4862, 10.01712,1769495, 0, 252.5, 0,0,1,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4863, 10.01712,0.08519545, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4865, 10.01712,0.08113249, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4866, 10.01712,0.08103827, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4868, 10.01712,0.05550917, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4869, 10.01712,0.116192, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4871, 10.01712,0.09976535, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4872, 10.01712,24.59546, 0, 252.5, 0,1,1,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4874, 10.01712,0.05551435, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4875, 10.01712,0.07429869, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4877, 10.01712,0.08690622, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4878, 10.01712,0.08108947, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4879, 10.01712,0.1144736, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4881, 10.01712,0.06230699, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4883, 10.01712,0.3039945, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4884, 10.01712,1.938329, 0, 252.5, 0,0,3,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4885, 10.01712,0.1057108, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4887, 10.01712,2.519388, 0, 252.5, 0,0,2,0,0,10.01712, 0, 0,0, 0, 0, 0
