totalTimeinminsoFar, realtimeSinceStartup, Total Time Stopped, Total Distance Travelled, Avg Speed, Speed Limit, Total Serious Collision Count,Total Vehicle-Vehicle Collision Count,Total Non-Vehicle Collision Count, Non-Collision Destroyed, No. Of Stops Passed Through, Avg Time in speed0-5mph,Avg Time in speed5-10mph,Avg Time in speed10-15mph,Avg Time in speed15-20mph, Avg Time in speed20-25mph, Avg Time in speed25-30mph, Avg Time in speed30-35mph
1.067333,73.89993, 1.000257,14.64013, 0.001626461, 27.13397, 0,0,0,1,0,1.010615, 0.01164025, 0.01407237,0.02233623, 0.008858235, 0, 0
1.089,75.20094, 1.000333,23.65132, 0.002800689, 25.79899, 0,0,0,1,0,1.009948, 0.01129882, 0.01372119,0.01969937, 0.03460955, 0, 0
1.094,75.49763, 1.000252,17.68609, 0.002169695, 25.52581, 0,0,0,1,0,1.016131, 0.0211102, 0.02643433,0.03054639, 0, 0, 0
1.097667,75.72242, 1.000185,26.26754, 0.003156863, 29.60444, 0,0,0,1,0,1.009867, 0.01196471, 0.01596399,0.02002162, 0.03998333, 0, 0
1.112,76.5845, 1.000535,32.12303, 0.003863133, 32.25014, 0,0,0,1,0,1.010013, 0.01202927, 0.0145279,0.01924949, 0.05604648, 0.0004626195, 0
1.141667,78.36023, 1.001197,35.28604, 0.004074709, 28.10474, 0,2,0,1,0,1.015946, 0.02493999, 0.01953733,0.03433526, 0.04695649, 0, 0
1.144,78.49948, 1.000284,45.94065, 0.005530384, 33.32858, 0,0,0,1,0,1.009561, 0.01189897, 0.01398041,0.02028117, 0.07182708, 0.016687, 0
1.204667,82.13681, 1.000389,68.57443, 0.007954007, 23.92815, 0,0,0,1,0,1.00992, 0.01195099, 0.01444706,0.01959618, 0.1151444, 0.03381597, 0
1.219333,83.01981, 1.180135,6.309753, 0.0004394366, 31.995, 1,0,1,0,0,1.189685, 0.0112489, 0.01412813,0.004533594, 0, 0, 0
1.220667,83.10706, 1.000391,76.82363, 0.008834094, 26.63093, 0,0,0,1,0,1.009456, 0.01268511, 0.01409695,0.02030049, 0.1446348, 0.01980248, 0
1.223333,83.25784, 1.223466,0.5720761, 0, 23.39664, 1,0,3,0,0,1.223466, 0, 0,0, 0, 0, 0
1.224333,83.32358, 1.000341,77.87225, 0.008919773, 26.5352, 0,0,0,1,0,1.01039, 0.01216033, 0.01538779,0.018365, 0.1264114, 0.04194546, 0
1.232667,83.82341, 1.000408,81.60626, 0.009257412, 23.21726, 0,0,0,1,0,1.009868, 0.01213583, 0.01522811,0.01967084, 0.1490874, 0.02700041, 0
1.236,84.02102, 1.00036,81.12561, 0.009183939, 28.11468, 0,0,0,1,0,1.010203, 0.01263168, 0.01560974,0.02040195, 0.1622005, 0.01522954, 0
